equipe,pool,team,J,G,N,P,F,B+,P-,Pts,chambly
top12,Poule 1,ASPTT Strasbourg,10,8,2,0,0,0,0,46,
top12,Poule 1,Le Volant Airois,10,6,1,3,0,1,0,37,
top12,Poule 1,Bad'Club de Rostrenen,10,5,2,3,0,1,0,35,
top12,Poule 1,Red Star Mulhouse,10,4,0,6,0,2,0,28,
top12,Poule 1,Aix Université Club Badminton,10,3,1,6,0,2,-1,25,
top12,Poule 1,Union Saint-Bruno,10,1,0,9,0,2,0,16,
top12,Poule 2,Badminton Club Fos,10,9,1,0,0,1,0,49,
top12,Poule 2,Vga Stella Saint Maur,10,7,1,2,0,3,0,43,
top12,Poule 2,B.C. Chambly Oise,10,6,1,3,0,7,0,43,x
top12,Poule 2,Flume Ille Badminton,10,4,0,6,0,1,0,27,
top12,Poule 2,Racing Club de France,10,2,1,7,0,3,-1,22,
top12,Poule 2,Conquerant Badminton Club Caen,10,0,0,10,0,1,-3,8,
n2,Poule 4,Association Badminton Salbris,10,9,0,1,0,5,0,51,
n2,Poule 4,Racing Club de France,10,6,2,2,0,3,-2,39,
n2,Poule 4,B.C. Chambly Oise,10,5,2,3,0,1,-3,32,x
n2,Poule 4,Badminton Club de Lyon,10,4,2,4,0,2,-1,31,
n2,Poule 4,Badminton Club Isle d'Abeau,10,1,3,6,0,1,0,21,
n2,Poule 4,Badminton Club de Bourges,10,0,1,9,0,0,0,12,
r2,Phase 1,Grande-Synthe - R2A,7,6,0,1,0,3,0,34,
r2,Phase 1,La Bassée - R2A,7,5,1,1,0,1,-1,29,
r2,Phase 1,Baisieux - R2A,7,5,0,2,0,3,-1,29,
r2,Phase 1,Gravelines - R2A,7,2,3,2,0,1,0,22,
r2,Phase 1,Laon - R2A,7,2,2,3,0,2,0,21,
r2,Phase 1,Bethune - R2A,7,0,4,3,0,0,0,15,
r2,Phase 1,Chambly - R2A,7,2,1,4,0,1,-3,15,x
r2,Phase 1,Margny-Venette - R2A,7,0,1,6,0,4,0,13,
r2,Phase 2,Lezennes - R2B,7,6,0,1,0,2,0,33,
r2,Phase 2,Liancourt - R2B,7,4,1,2,0,2,0,27,
r2,Phase 2,Chambly - R2A,7,3,3,1,0,0,0,25,x
r2,Phase 2,Laon - R2A,7,3,2,2,0,2,0,25,
r2,Phase 2,Lomme - R2B,7,3,2,2,0,3,-5,21,
r2,Phase 2,Bethune - R2A,7,2,0,5,0,5,0,20,
r2,Phase 2,Wambrechies - R2B,7,1,3,3,0,3,0,20,
r2,Phase 2,Margny-Venette - R2A,7,0,1,6,0,1,-2,8,
icd,,B.C. Chambly Oise,7,7,0,0,0,4,0,25,x
icd,,Beauvais Oise Badminton,7,5,0,2,0,1,0,18,
icd,,Assoc. Sportive Crepynoise de Badminton,7,4,2,1,0,0,0,13,
icd,,Badminton Club Orry La Chapelle,7,3,2,2,0,1,0,12,
icd,,Club Badminton Liancourt Clermont,7,2,1,4,0,0,0,10,
icd,,Badminton Club Senlisien,7,2,2,3,0,0,0,9,
icd,,Assoc. Sportive Crepynoise de Bad. (2),7,1,0,6,0,0,0,9,
icd,,Badminton Club Verberie,7,0,1,6,0,0,0,6,
d2,,Badminton Club Compiegnois,10,8,1,1,0,2,0,46,
d2,,Badminton Club Orry La Chapelle,10,6,2,2,0,3,0,41,
d2,,Club Badminton Liancourt Clermont,10,6,1,3,0,1,0,37,
d2,,B.C. Chambly Oise,10,4,2,4,0,4,0,34,x
d2,,Beauvais Oise Badminton,10,3,0,7,0,1,0,23,
d2,,Assoc. Sportive Crepynoise de Badminton,10,0,0,10,0,4,0,14,
d3,,Badminton Club Senlisien,7,6,1,0,0,3,0,36,
d3,,Chantilly Badminton Club,7,4,2,1,0,3,0,30,
d3,,Badminton Club Compiegnois,7,3,4,0,0,0,0,27,
d3,,Club Badminton Liancourt Clermont,7,3,1,3,0,2,0,23,
d3,,Badminton Club Meruvien,7,3,1,3,0,0,0,21,
d3,,Assocation De Bad. Cosacien,7,2,2,3,0,1,0,20,
d3,,B.C. Chambly Oise,7,1,1,5,0,2,0,15,x
d3,,Badminton Margny-Venette,7,0,0,7,0,4,0,11,
